time,temperature_2m_mean,weather_code,mes,weather_description
2024-01-01,24.9,51,1,Light Drizzle
2024-01-02,25.9,51,1,Light Drizzle
2024-01-03,26.2,63,1,Rain
2024-01-04,24.9,61,1,Light Rain
2024-01-05,25.2,51,1,Light Drizzle
2024-01-06,25.4,51,1,Light Drizzle
2024-01-07,26.0,3,1,Cloudy
2024-01-08,29.0,3,1,Cloudy
2024-01-09,29.3,51,1,Light Drizzle
2024-01-10,29.9,53,1,Drizzle
2024-01-11,29.4,63,1,Rain
2024-01-12,28.2,63,1,Rain
2024-01-13,25.6,63,1,Rain
2024-01-14,25.2,63,1,Rain
2024-01-15,28.8,3,1,Cloudy
2024-01-16,30.6,53,1,Drizzle
2024-01-17,31.3,55,1,Heavy Drizzle
2024-01-18,29.3,53,1,Drizzle
2024-01-19,28.2,63,1,Rain
2024-01-20,30.0,65,1,Heavy Rain
2024-01-21,26.2,63,1,Rain
2024-01-22,25.2,53,1,Drizzle
2024-01-23,23.2,63,1,Rain
2024-01-24,22.0,63,1,Rain
2024-01-25,24.1,53,1,Drizzle
2024-01-26,23.9,55,1,Heavy Drizzle
2024-01-27,24.8,55,1,Heavy Drizzle
2024-01-28,25.3,63,1,Rain
2024-01-29,26.0,51,1,Light Drizzle
2024-01-30,27.0,51,1,Light Drizzle
2024-01-31,26.6,61,1,Light Rain
2024-02-01,25.9,61,2,Light Rain
2024-02-02,25.0,53,2,Drizzle
2024-02-03,26.2,3,2,Cloudy
2024-02-04,27.0,53,2,Drizzle
2024-02-05,27.1,3,2,Cloudy
2024-02-06,26.8,3,2,Cloudy
2024-02-07,26.7,51,2,Light Drizzle
2024-02-08,27.1,51,2,Light Drizzle
2024-02-09,27.2,53,2,Drizzle
2024-02-10,27.4,53,2,Drizzle
2024-02-11,29.1,51,2,Light Drizzle
2024-02-12,30.2,3,2,Cloudy
2024-02-13,30.5,51,2,Light Drizzle
2024-02-14,27.5,53,2,Drizzle
2024-02-15,25.2,63,2,Rain
2024-02-16,25.5,51,2,Light Drizzle
2024-02-17,25.7,51,2,Light Drizzle
2024-02-18,26.3,51,2,Light Drizzle
2024-02-19,25.8,53,2,Drizzle
2024-02-20,25.7,63,2,Rain
2024-02-21,25.8,65,2,Heavy Rain
2024-02-22,27.7,51,2,Light Drizzle
2024-02-23,28.9,51,2,Light Drizzle
2024-02-24,29.3,51,2,Light Drizzle
2024-02-25,28.1,51,2,Light Drizzle
2024-02-26,26.7,55,2,Heavy Drizzle
2024-02-27,27.6,51,2,Light Drizzle
2024-02-28,28.8,51,2,Light Drizzle
2024-02-29,28.1,63,2,Rain
2024-03-01,26.7,63,3,Rain
2024-03-02,25.5,51,3,Light Drizzle
2024-03-03,25.5,0,3,Sunny
2024-03-04,26.7,0,3,Sunny
2024-03-05,27.7,63,3,Rain
2024-03-06,25.8,65,3,Heavy Rain
2024-03-07,26.2,51,3,Light Drizzle
2024-03-08,26.4,51,3,Light Drizzle
2024-03-09,28.0,51,3,Light Drizzle
2024-03-10,27.2,63,3,Rain
2024-03-11,25.7,53,3,Drizzle
2024-03-12,25.1,51,3,Light Drizzle
2024-03-13,25.5,51,3,Light Drizzle
2024-03-14,26.0,3,3,Cloudy
2024-03-15,27.8,3,3,Cloudy
2024-03-16,29.7,3,3,Cloudy
